Date,Pm
00:00,-56.0
00:15,-64.0
00:30,-60.0
00:45,-56.0
01:00,-60.0
01:15,-72.0
01:30,-76.0
01:45,-76.0
02:00,-76.0
02:15,-76.0
02:30,-76.0
02:45,-76.0
03:00,-76.0
03:15,-76.0
03:30,-76.0
03:45,-80.0
04:00,-76.0
04:15,-92.0
04:30,-88.0
04:45,-88.0
05:00,-84.0
05:15,-72.0
05:30,-72.0
05:45,-68.0
06:00,-76.0
06:15,-96.0
06:30,-104.0
06:45,-104.0
07:00,-92.0
07:15,-144.0
07:30,-160.0
07:45,-196.0
08:00,-216.0
08:15,-228.0
08:30,-212.0
08:45,-252.0
09:00,-240.0
09:15,-240.0
09:30,-248.0
09:45,-244.0
10:00,-256.0
10:15,-244.0
10:30,-248.0
10:45,-240.0
11:00,-288.0
11:15,-252.0
11:30,-228.0
11:45,-244.0
12:00,-244.0
12:15,-256.0
12:30,-272.0
12:45,-292.0
13:00,-264.0
13:15,-272.0
13:30,-264.0
13:45,-244.0
14:00,-248.0
14:15,-248.0
14:30,-232.0
14:45,-244.0
15:00,-236.0
15:15,-192.0
15:30,-172.0
15:45,-164.0
16:00,-164.0
16:15,-144.0
16:30,-132.0
16:45,-144.0
17:00,-132.0
17:15,-128.0
17:30,-116.0
17:45,-116.0
18:00,-104.0
18:15,-88.0
18:30,-88.0
18:45,-80.0
19:00,-72.0
19:15,-52.0
19:30,-56.0
19:45,-52.0
20:00,-56.0
20:15,-52.0
20:30,-52.0
20:45,-56.0
21:00,-56.0
21:15,-44.0
21:30,-48.0
21:45,-52.0
22:00,-48.0
22:15,-52.0
22:30,-56.0
22:45,-60.0
23:00,-56.0
23:15,-60.0
23:30,-56.0
23:45,-56.0
