Date,Pm
00:00,-48.0
00:15,-60.0
00:30,-56.0
00:45,-56.0
01:00,-56.0
01:15,-52.0
01:30,-56.0
01:45,-56.0
02:00,-56.0
02:15,-56.0
02:30,-56.0
02:45,-56.0
03:00,-52.0
03:15,-56.0
03:30,-56.0
03:45,-56.0
04:00,-56.0
04:15,-60.0
04:30,-56.0
04:45,-56.0
05:00,-56.0
05:15,-52.0
05:30,-56.0
05:45,-56.0
06:00,-56.0
06:15,-60.0
06:30,-56.0
06:45,-52.0
07:00,-52.0
07:15,-52.0
07:30,-56.0
07:45,-60.0
08:00,-64.0
08:15,-64.0
08:30,-68.0
08:45,-68.0
09:00,-64.0
09:15,-68.0
09:30,-60.0
09:45,-60.0
10:00,-64.0
10:15,-60.0
10:30,-60.0
10:45,-64.0
11:00,-60.0
11:15,-60.0
11:30,-60.0
11:45,-64.0
12:00,-60.0
12:15,-68.0
12:30,-60.0
12:45,-64.0
13:00,-68.0
13:15,-64.0
13:30,-64.0
13:45,-64.0
14:00,-64.0
14:15,-64.0
14:30,-64.0
14:45,-64.0
15:00,-68.0
15:15,-64.0
15:30,-64.0
15:45,-64.0
16:00,-64.0
16:15,-68.0
16:30,-64.0
16:45,-64.0
17:00,-64.0
17:15,-64.0
17:30,-60.0
17:45,-64.0
18:00,-60.0
18:15,-52.0
18:30,-48.0
18:45,-48.0
19:00,-56.0
19:15,-48.0
19:30,-52.0
19:45,-48.0
20:00,-48.0
20:15,-52.0
20:30,-48.0
20:45,-52.0
21:00,-52.0
21:15,-52.0
21:30,-52.0
21:45,-52.0
22:00,-52.0
22:15,-56.0
22:30,-52.0
22:45,-56.0
23:00,-56.0
23:15,-52.0
23:30,-52.0
23:45,-56.0
