Date,Pm
00:00,68.0
00:15,68.0
00:30,72.0
00:45,72.0
01:00,72.0
01:15,72.0
01:30,72.0
01:45,72.0
02:00,72.0
02:15,68.0
02:30,72.0
02:45,72.0
03:00,68.0
03:15,76.0
03:30,68.0
03:45,72.0
04:00,72.0
04:15,72.0
04:30,72.0
04:45,68.0
05:00,72.0
05:15,72.0
05:30,76.0
05:45,72.0
06:00,68.0
06:15,72.0
06:30,76.0
06:45,72.0
07:00,72.0
07:15,68.0
07:30,72.0
07:45,72.0
08:00,68.0
08:15,72.0
08:30,68.0
08:45,68.0
09:00,68.0
09:15,72.0
09:30,68.0
09:45,68.0
10:00,64.0
10:15,68.0
10:30,60.0
10:45,68.0
11:00,64.0
11:15,64.0
11:30,68.0
11:45,72.0
12:00,64.0
12:15,68.0
12:30,68.0
12:45,68.0
13:00,64.0
13:15,64.0
13:30,72.0
13:45,68.0
14:00,68.0
14:15,68.0
14:30,64.0
14:45,72.0
15:00,72.0
15:15,72.0
15:30,64.0
15:45,68.0
16:00,64.0
16:15,64.0
16:30,64.0
16:45,68.0
17:00,64.0
17:15,64.0
17:30,64.0
17:45,64.0
18:00,68.0
18:15,60.0
18:30,64.0
18:45,68.0
19:00,64.0
19:15,64.0
19:30,60.0
19:45,68.0
20:00,64.0
20:15,68.0
20:30,60.0
20:45,64.0
21:00,68.0
21:15,64.0
21:30,72.0
21:45,72.0
22:00,72.0
22:15,80.0
22:30,72.0
22:45,76.0
23:00,76.0
23:15,72.0
23:30,76.0
23:45,80.0
