Date,Pm
00:00,-280.0
00:15,-272.0
00:30,-292.0
00:45,-280.0
01:00,-272.0
01:15,-280.0
01:30,-280.0
01:45,-280.0
02:00,-280.0
02:15,-276.0
02:30,-272.0
02:45,-280.0
03:00,-280.0
03:15,-276.0
03:30,-276.0
03:45,-272.0
04:00,-276.0
04:15,-276.0
04:30,-276.0
04:45,-276.0
05:00,-276.0
05:15,-268.0
05:30,-276.0
05:45,-276.0
06:00,-276.0
06:15,-264.0
06:30,-268.0
06:45,-268.0
07:00,-268.0
07:15,-264.0
07:30,-260.0
07:45,-264.0
08:00,-260.0
08:15,-272.0
08:30,-264.0
08:45,-268.0
09:00,-276.0
09:15,-272.0
09:30,-268.0
09:45,-272.0
10:00,-268.0
10:15,-264.0
10:30,-264.0
10:45,-268.0
11:00,-272.0
11:15,-272.0
11:30,-276.0
11:45,-276.0
12:00,-276.0
12:15,-280.0
12:30,-272.0
12:45,-276.0
13:00,-276.0
13:15,-284.0
13:30,-280.0
13:45,-276.0
14:00,-276.0
14:15,-288.0
14:30,-284.0
14:45,-276.0
15:00,-272.0
15:15,-272.0
15:30,-276.0
15:45,-276.0
16:00,-272.0
16:15,-272.0
16:30,-280.0
16:45,-280.0
17:00,-280.0
17:15,-272.0
17:30,-276.0
17:45,-284.0
18:00,-276.0
18:15,-272.0
18:30,-280.0
18:45,-272.0
19:00,-276.0
19:15,-276.0
19:30,-272.0
19:45,-272.0
20:00,-272.0
20:15,-276.0
20:30,-272.0
20:45,-276.0
21:00,-272.0
21:15,-276.0
21:30,-268.0
21:45,-272.0
22:00,-264.0
22:15,-264.0
22:30,-264.0
22:45,-272.0
23:00,-268.0
23:15,-268.0
23:30,-264.0
23:45,-268.0
