Interval;Power(W)
00:00;4096.08
00:15;3788.46
00:30;3407.4
00:45;3076.74
01:00;2796.48
01:15;2589.12
01:30;2443.5
01:45;2348.28
02:00;2286.54
02:15;2247.3
02:30;2219.22
02:45;2208.06
03:00;2191.32
03:15;2174.4
03:30;2163.24
03:45;2146.5
04:00;2146.5
04:15;2152.08
04:30;2174.4
04:45;2202.48
05:00;2241.72
05:15;2292.12
05:30;2415.42
05:45;2673.18
06:00;3127.14
06:15;3810.96
06:30;4640.4
06:45;5492.16
07:00;6248.7
07:15;6814.8
07:30;7201.44
07:45;7436.88
08:00;7554.6
08:15;7588.08
08:30;7554.6
08:45;7459.2
09:00;7324.74
09:15;7156.62
09:30;6982.92
09:45;6809.22
10:00;6669
10:15;6573.78
10:30;6512.22
10:45;6484.14
11:00;6484.14
11:15;6506.46
11:30;6557.04
11:45;6652.26
12:00;6809.22
12:15;7027.74
12:30;7263.18
12:45;7453.62
13:00;7554.6
13:15;7520.94
13:30;7380.9
13:45;7173.54
14:00;6949.26
14:15;6736.32
14:30;6545.7
14:45;6372
15:00;6203.88
15:15;6046.92
15:30;5912.46
15:45;5800.5
16:00;5738.76
16:15;5727.6
16:30;5783.58
16:45;5918.04
17:00;6159.06
17:15;6500.88
17:30;6932.52
17:45;7431.3
18:00;7974.9
18:15;8540.82
18:30;9090.18
18:45;9594.54
19:00;10026
19:15;10351.08
19:30;10547.28
19:45;10586.52
20:00;10446.3
20:15;10126.98
20:30;9678.6
20:45;9185.4
21:00;8720.28
21:15;8344.8
21:30;8036.46
21:45;7756.38
22:00;7464.96
22:15;7128.54
22:30;6753.06
22:45;6349.68
23:00;5923.62
23:15;5492.16
23:30;5055.12
23:45;4623.48
