Date,Pm
00:00,64.0
00:15,64.0
00:30,64.0
00:45,64.0
01:00,60.0
01:15,76.0
01:30,80.0
01:45,76.0
02:00,80.0
02:15,80.0
02:30,80.0
02:45,76.0
03:00,80.0
03:15,80.0
03:30,76.0
03:45,80.0
04:00,84.0
04:15,80.0
04:30,76.0
04:45,80.0
05:00,80.0
05:15,60.0
05:30,64.0
05:45,64.0
06:00,60.0
06:15,80.0
06:30,84.0
06:45,88.0
07:00,92.0
07:15,92.0
07:30,92.0
07:45,104.0
08:00,112.0
08:15,156.0
08:30,180.0
08:45,188.0
09:00,208.0
09:15,208.0
09:30,220.0
09:45,216.0
10:00,216.0
10:15,220.0
10:30,224.0
10:45,220.0
11:00,228.0
11:15,224.0
11:30,220.0
11:45,224.0
12:00,220.0
12:15,216.0
12:30,216.0
12:45,216.0
13:00,216.0
13:15,216.0
13:30,224.0
13:45,232.0
14:00,228.0
14:15,232.0
14:30,228.0
14:45,232.0
15:00,224.0
15:15,228.0
15:30,224.0
15:45,224.0
16:00,224.0
16:15,220.0
16:30,216.0
16:45,208.0
17:00,192.0
17:15,172.0
17:30,168.0
17:45,172.0
18:00,156.0
18:15,84.0
18:30,80.0
18:45,72.0
19:00,76.0
19:15,68.0
19:30,60.0
19:45,68.0
20:00,68.0
20:15,64.0
20:30,64.0
20:45,68.0
21:00,64.0
21:15,76.0
21:30,68.0
21:45,64.0
22:00,64.0
22:15,68.0
22:30,68.0
22:45,64.0
23:00,68.0
23:15,68.0
23:30,64.0
23:45,64.0
