Date,Pm
00:00,-472.0
00:15,-472.0
00:30,-548.0
00:45,-520.0
01:00,-500.0
01:15,-476.0
01:30,-484.0
01:45,-500.0
02:00,-536.0
02:15,-516.0
02:30,-476.0
02:45,-484.0
03:00,-472.0
03:15,-536.0
03:30,-544.0
03:45,-520.0
04:00,-496.0
04:15,-488.0
04:30,-504.0
04:45,-560.0
05:00,-540.0
05:15,-488.0
05:30,-476.0
05:45,-480.0
06:00,-516.0
06:15,-544.0
06:30,-548.0
06:45,-512.0
07:00,-572.0
07:15,-576.0
07:30,-636.0
07:45,-628.0
08:00,-600.0
08:15,-628.0
08:30,-616.0
08:45,-684.0
09:00,-732.0
09:15,-740.0
09:30,-700.0
09:45,-720.0
10:00,-736.0
10:15,-780.0
10:30,-724.0
10:45,-752.0
11:00,-800.0
11:15,-788.0
11:30,-744.0
11:45,-796.0
12:00,-872.0
12:15,-868.0
12:30,-828.0
12:45,-736.0
13:00,-720.0
13:15,-788.0
13:30,-764.0
13:45,-736.0
14:00,-696.0
14:15,-696.0
14:30,-784.0
14:45,-812.0
15:00,-788.0
15:15,-728.0
15:30,-780.0
15:45,-772.0
16:00,-748.0
16:15,-692.0
16:30,-712.0
16:45,-728.0
17:00,-684.0
17:15,-604.0
17:30,-616.0
17:45,-632.0
18:00,-612.0
18:15,-548.0
18:30,-568.0
18:45,-600.0
19:00,-576.0
19:15,-520.0
19:30,-532.0
19:45,-576.0
20:00,-564.0
20:15,-524.0
20:30,-500.0
20:45,-504.0
21:00,-560.0
21:15,-544.0
21:30,-488.0
21:45,-488.0
22:00,-516.0
22:15,-536.0
22:30,-512.0
22:45,-472.0
23:00,-484.0
23:15,-496.0
23:30,-532.0
23:45,-508.0
